Year,State,DataSource,Topic_Description,Measure_Description,Variable,Data Value Unit,Data Value Type,Data Value
2009,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,470.8
2008,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Total,$,Millions of Dollars,"2,970.40"
2008,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,448.4
2008,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,"1,555.40"
2008,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Nursing Home,$,Millions of Dollars,226.5
2008,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,585.2
2008,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Other,$,Millions of Dollars,154.9
2007,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Total,$,Millions of Dollars,"2,816.20"
2007,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,438.3
2007,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,"1,473.70"
2007,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Nursing Home,$,Millions of Dollars,212.1
2007,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,557.2
2007,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Other,$,Millions of Dollars,134.8
2006,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Total,$,Millions of Dollars,"2,648.90"
2006,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,419.9
2006,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,"1,373.20"
2006,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Nursing Home,$,Millions of Dollars,195.4
2006,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,537.3
2006,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Other,$,Millions of Dollars,123.1
2005,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Total,$,Millions of Dollars,"2,485.00"
2005,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,391.5
2005,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,"1,297.70"
2005,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Nursing Home,$,Millions of Dollars,181.9
2005,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,500.2
2005,Virginia,SAMMEC,Smoking-Attributable Expenditures (SAEs),Type of Expense,Other,$,Millions of Dollars,113.8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
