Year,Location Description,Data Source,Topic Description,Measure Description,Source,Data Value Unit,Data Value
2009,Virginia,UIC,Funding,Appropriations/Grants,State,$,12700000
2009,Virginia,UIC,Funding,Appropriations/Grants,Federal,$,934347
2009,Virginia,UIC,Funding,Appropriations/Grants,American Legacy Foundation,$,0
2009,Virginia,UIC,Funding,Appropriations/Grants,Robert Wood Johnson Foundation,$,87180
2009,Virginia,UIC,Funding,Appropriations/Grants,Total,$,13721527
2009,Virginia,UIC,Funding,Appropriations/Grants,Total Per Capita,$,1.73
2008,Virginia,UIC,Funding,Appropriations/Grants,State,$,14500000
2008,Virginia,UIC,Funding,Appropriations/Grants,Federal,$,1245795
2008,Virginia,UIC,Funding,Appropriations/Grants,American Legacy Foundation,$,23815
2008,Virginia,UIC,Funding,Appropriations/Grants,Robert Wood Johnson Foundation,$,70221
2008,Virginia,UIC,Funding,Appropriations/Grants,Total,$,15839831
2008,Virginia,UIC,Funding,Appropriations/Grants,Total Per Capita,$,2.02
2007,Virginia,UIC,Funding,Appropriations/Grants,State,$,13500000
2007,Virginia,UIC,Funding,Appropriations/Grants,Federal,$,1236776
2007,Virginia,UIC,Funding,Appropriations/Grants,American Legacy Foundation,$,76833
2007,Virginia,UIC,Funding,Appropriations/Grants,Robert Wood Johnson Foundation,$,0
2007,Virginia,UIC,Funding,Appropriations/Grants,Total,$,14813609
2007,Virginia,UIC,Funding,Appropriations/Grants,Total Per Capita,$,1.91
2006,Virginia,UIC,Funding,Appropriations/Grants,State,$,12777019
2006,Virginia,UIC,Funding,Appropriations/Grants,Federal,$,1172776
2006,Virginia,UIC,Funding,Appropriations/Grants,American Legacy Foundation,$,27665
2006,Virginia,UIC,Funding,Appropriations/Grants,Robert Wood Johnson Foundation,$,0
2006,Virginia,UIC,Funding,Appropriations/Grants,Total,$,13977460
2006,Virginia,UIC,Funding,Appropriations/Grants,Total Per Capita,$,1.82
2005,Virginia,UIC,Funding,Appropriations/Grants,State,$,12618960
2005,Virginia,UIC,Funding,Appropriations/Grants,Federal,$,1056145
2005,Virginia,UIC,Funding,Appropriations/Grants,American Legacy Foundation,$,25066
2005,Virginia,UIC,Funding,Appropriations/Grants,Robert Wood Johnson Foundation,$,0
2005,Virginia,UIC,Funding,Appropriations/Grants,Total,$,13700171
2005,Virginia,UIC,Funding,Appropriations/Grants,Total Per Capita,$,1.81
